NAME;CITY;ID NUMBER;GENDER;SOCIAL STATUS;AGE;EDUCATION LEVEL;NEWS TYPE;FAKE NEWS SHARED THIS MONTH
William Corwin;Barranquilla;390-17-7378;M;5;60;Profesional doctorado;Politica,Farandula,Cientifica,Economica;1
Msgr. Janeth Greenfelder;Cartagena;848-69-1575;F;5;26;Profesional;Cientifica,Politica;5
Chasity O'Reilly;Barranquilla;353-64-8313;M;6;23;Tecnico;Economica;6
Anton Braun V;Santa Marta;011-38-4583;F;1;16;Tecnico;;0
Gayle Yundt;Cartagena;117-90-9895;F;5;23;Profesional;Economica,Cientifica;6
Thea Waters;Barranquilla;072-75-8060;F;4;26;Tecnico;Politica,Farandula,Economica;5
Fred Donnelly;Cartagena;817-25-3387;M;2;15;Colegio;;0
Tianna Ratke;Santa Marta;303-68-4828;F;5;19;Tecnico;;0
Margart Franecki;Cartagena;464-68-0669;M;2;20;Profesional;Politica,Economica,Farandula;1
Miss Jude Borer;Cartagena;038-30-7430;F;4;33;Profesional especializacion/master;Politica;5
Wilfredo Hintz DVM;Santa Marta;267-99-4226;M;1;43;Tecnico;Cientifica,Economica,Politica;5
Herman Herzog;Santa Marta;373-27-5667;M;5;21;Profesional;Cientifica,Economica,Farandula;1
Shaneka Farrell;Barranquilla;884-08-7003;M;2;24;Tecnico;Economica,Cientifica,Farandula;4
Ms. Robin Ledner;Cartagena;626-34-1845;M;1;51;Tecnico;;0
Sen. Jody West;Santa Marta;734-40-5548;F;2;39;Profesional especializacion/master;Politica,Farandula;5
Elyse Quitzon Jr.;Santa Marta;863-03-0864;F;5;58;Tecnico;;0
Carlos Fadel;Santa Marta;637-55-8251;M;2;40;Profesional especializacion/master;Farandula,Cientifica,Economica,Politica;4
Arminda Barrows;Cartagena;693-62-1267;F;3;25;Profesional;Farandula;6
Camille Pacocha;Santa Marta;260-32-8651;F;4;45;Tecnico;Economica,Farandula,Politica;4
Maddie Herzog;Barranquilla;117-53-4035;F;3;35;Profesional especializacion/master;Farandula,Economica,Cientifica,Politica;6
Ms. Megan Greenfelder;Cartagena;673-50-6762;F;4;18;Profesional;;0
Izola Purdy;Santa Marta;783-76-2273;M;1;17;Profesional;Farandula,Politica,Cientifica,Economica;1
Gov. Elfriede Blanda;Santa Marta;082-02-3771;M;1;26;Profesional;Economica,Cientifica;5
Marcelino Hessel;Santa Marta;184-60-8743;F;3;41;Profesional especializacion/master;Cientifica,Economica,Politica,Farandula;4
Elvie Lockman;Barranquilla;628-17-1227;F;3;14;Colegio;;0
Dexter Haag;Santa Marta;483-69-8538;F;4;31;Profesional especializacion/master;Politica,Cientifica,Farandula;4
Dwayne Will;Cartagena;554-32-2914;F;1;27;Profesional especializacion/master;Farandula,Cientifica;5
Gena Bartell;Cartagena;207-62-9777;F;1;51;Tecnico;Economica;1
Rubin Stoltenberg Sr.;Barranquilla;581-62-9928;M;2;19;Profesional;;0
Savanna Wintheiser;Barranquilla;252-15-7268;F;6;35;Tecnico;Economica,Farandula,Cientifica,Politica;5
Eloise Waelchi JD;Santa Marta;027-40-9712;F;2;24;Profesional;Farandula,Politica;5
Gov. Daysi Hermann;Barranquilla;176-04-6563;M;5;60;Profesional doctorado;Farandula,Politica,Cientifica;1
Whitney Lesch;Barranquilla;859-04-3033;M;5;16;Tecnico;Cientifica,Economica,Politica;1
Denice Nader;Barranquilla;623-92-8085;M;5;38;Tecnico;Politica,Cientifica,Farandula;5
Francisca Bernhard;Barranquilla;173-84-6073;M;3;47;Profesional;Cientifica,Farandula;1
Walton Volkman;Cartagena;281-63-1750;M;6;22;Profesional;Politica,Economica,Farandula;5
Pres. Victor O'Conner;Santa Marta;184-82-1837;F;2;58;Profesional;Economica,Politica,Farandula,Cientifica;1
Chung Nitzsche;Barranquilla;443-36-9389;M;3;22;Profesional;Economica,Politica,Cientifica,Farandula;5
Boyce Ryan;Santa Marta;463-13-7214;F;2;44;Tecnico;Cientifica,Economica,Politica;4
Nestor Konopelski MD;Santa Marta;264-62-7434;M;5;51;Profesional especializacion/master;Farandula;1
Lynda Prosacco;Barranquilla;559-10-0018;F;3;53;Profesional;;0
Nu Legros;Cartagena;691-17-2562;M;1;32;Profesional especializacion/master;Economica,Politica;5
Glen Friesen VM;Barranquilla;885-32-3136;M;5;59;Tecnico;Cientifica,Economica,Politica,Farandula;1
Lauran Schoen III;Barranquilla;809-32-5264;M;3;35;Profesional especializacion/master;Cientifica;4
Lara Morissette;Barranquilla;530-02-3596;M;5;47;Profesional;Cientifica,Economica;1
Will Konopelski;Cartagena;184-67-6339;F;1;28;Tecnico;Cientifica,Farandula,Politica,Economica;6
Wilda Satterfield;Cartagena;566-80-1880;M;1;54;Profesional especializacion/master;Economica;1
Mrs. Odilia Leffler;Barranquilla;837-64-3275;M;4;34;Profesional;Politica;4
Sen. Antonia Jerde;Santa Marta;307-55-3189;F;1;26;Profesional;Cientifica,Politica,Economica,Farandula;5
